"","data","municipio_id","municipio","casos_acumulado","Casos.Estimado","t","Casos.Forecast","Casos.Lo.80","Casos.Hi.80","Casos.Lo.95","Casos.Hi.95","obitos_acumulado","Obitos.Estimado","Obitos.Forecast","Obitos.Lo.80","Obitos.Hi.80","Obitos.Lo.95","Obitos.Hi.95"
"1",2020-05-07,2100154,"Água Doce do Maranhão",1,0.999552786474297,1,NA,NA,NA,NA,NA,0,5.4945027472487e-05,NA,NA,NA,NA,NA
"2",2020-05-08,2100154,"Água Doce do Maranhão",1,1.00134163666772,2,NA,NA,NA,NA,NA,0,0.0549450549452305,NA,NA,NA,NA,NA
"3",2020-05-09,2100154,"Água Doce do Maranhão",3,1.39908725429013,3,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"4",2020-05-10,2100154,"Água Doce do Maranhão",3,3.94920280138383,4,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"5",2020-05-11,2100154,"Água Doce do Maranhão",3,3.61996461478736,5,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"6",2020-05-12,2100154,"Água Doce do Maranhão",3,3.43351893433092,6,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"7",2020-05-13,2100154,"Água Doce do Maranhão",8,3.37628756651342,7,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"8",2020-05-14,2100154,"Água Doce do Maranhão",8,9.57046600725632,8,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"9",2020-05-15,2100154,"Água Doce do Maranhão",8,9.16326132175691,9,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"10",2020-05-16,2100154,"Água Doce do Maranhão",8,8.8658150186225,10,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"11",2020-05-17,2100154,"Água Doce do Maranhão",11,8.64977345085463,11,NA,NA,NA,NA,NA,0,0.0549450549449938,NA,NA,NA,NA,NA
"12",2020-05-18,2100154,"Água Doce do Maranhão",11,12.241409885132,12,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"13",2020-05-19,2100154,"Água Doce do Maranhão",11,11.9286011094236,13,NA,NA,NA,NA,NA,0,0.0549450549449938,NA,NA,NA,NA,NA
"14",2020-05-20,2100154,"Água Doce do Maranhão",11,11.6949358972398,14,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"15",2020-05-21,2100154,"Água Doce do Maranhão",17,11.5209173600066,15,NA,NA,NA,NA,NA,0,0.0549450549449938,NA,NA,NA,NA,NA
"16",2020-05-22,2100154,"Água Doce do Maranhão",17,18.8975635422353,16,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"17",2020-05-23,2100154,"Água Doce do Maranhão",17,18.4207687665421,17,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"18",2020-05-24,2100154,"Água Doce do Maranhão",17,18.0638253657551,18,NA,NA,NA,NA,NA,0,0.0549450549449938,NA,NA,NA,NA,NA
"19",2020-05-25,2100154,"Água Doce do Maranhão",21,17.7966252426621,19,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"20",2020-05-26,2100154,"Água Doce do Maranhão",21,22.6012949621433,20,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"21",2020-05-27,2100154,"Água Doce do Maranhão",21,22.1990551583952,21,NA,NA,NA,NA,NA,0,0.0549450549449937,NA,NA,NA,NA,NA
"22",2020-05-28,2100154,"Água Doce do Maranhão",30,21.8978793302763,22,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"23",2020-05-29,2100154,"Água Doce do Maranhão",30,32.933050995156,23,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"24",2020-05-30,2100154,"Água Doce do Maranhão",33,32.1962992148232,24,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"25",2020-05-31,2100154,"Água Doce do Maranhão",34,35.3981797843282,25,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"26",2020-06-01,2100154,"Água Doce do Maranhão",34,36.0469717887893,26,NA,NA,NA,NA,NA,0,0.0549450549449937,NA,NA,NA,NA,NA
"27",2020-06-02,2100154,"Água Doce do Maranhão",34,35.5327947777314,27,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"28",2020-06-03,2100154,"Água Doce do Maranhão",47,35.147774428571,28,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"29",2020-06-04,2100154,"Água Doce do Maranhão",47,51.1249219434037,29,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"30",2020-06-05,2100154,"Água Doce do Maranhão",47,50.0887873070173,30,NA,NA,NA,NA,NA,0,0.0549450549449937,NA,NA,NA,NA,NA
"31",2020-06-06,2100154,"Água Doce do Maranhão",56,49.3129183574509,31,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"32",2020-06-07,2100154,"Água Doce do Maranhão",56,59.992638838565,32,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"33",2020-06-08,2100154,"Água Doce do Maranhão",56,58.9897323896106,33,NA,NA,NA,NA,NA,0,0.0549450549449939,NA,NA,NA,NA,NA
"34",2020-06-09,2100154,"Água Doce do Maranhão",57,58.2387448927693,34,NA,NA,NA,NA,NA,1,0.0549450549449939,NA,NA,NA,NA,NA
"35",2020-06-10,2100154,"Água Doce do Maranhão",67,58.9275859760186,35,NA,NA,NA,NA,NA,1,1.05494505494499,NA,NA,NA,NA,NA
"36",2020-06-11,2100154,"Água Doce do Maranhão",81,70.9552865076917,36,NA,NA,NA,NA,NA,1,1.05494505494499,NA,NA,NA,NA,NA
"37",2020-06-12,2100154,"Água Doce do Maranhão",81,87.4784066940973,37,NA,NA,NA,NA,NA,1,1.05494505494499,NA,NA,NA,NA,NA
"38",2020-06-13,2100154,"Água Doce do Maranhão",81,85.8511030652657,38,NA,NA,NA,NA,NA,1,1.05494505494499,NA,NA,NA,NA,NA
"39",2020-06-14,2100154,"Água Doce do Maranhão",105,84.6325599926019,39,NA,NA,NA,NA,NA,1,1.05494505494499,NA,NA,NA,NA,NA
"40",2020-06-15,2100154,"Água Doce do Maranhão",109,113.748634137633,40,NA,NA,NA,NA,NA,1,1.05494505494499,NA,NA,NA,NA,NA
"41",2020-06-16,2100154,"Água Doce do Maranhão",110,116.555830116633,41,NA,NA,NA,NA,NA,2,1.05494505494499,NA,NA,NA,NA,NA
"42",2020-06-17,2100154,"Água Doce do Maranhão",112,115.909078588576,42,NA,NA,NA,NA,NA,2,2.05494505494499,NA,NA,NA,NA,NA
"43",2020-06-18,2100154,"Água Doce do Maranhão",113,116.927161573613,43,NA,NA,NA,NA,NA,2,2.05494505494499,NA,NA,NA,NA,NA
"44",2020-06-19,2100154,"Água Doce do Maranhão",114,116.940702314209,44,NA,NA,NA,NA,NA,3,2.05494505494499,NA,NA,NA,NA,NA
"45",2020-06-20,2100154,"Água Doce do Maranhão",127,117.202030636867,45,NA,NA,NA,NA,NA,3,3.05494505494499,NA,NA,NA,NA,NA
"46",2020-06-21,2100154,"Água Doce do Maranhão",134,132.663171443036,46,NA,NA,NA,NA,NA,3,3.05494505494499,NA,NA,NA,NA,NA
"47",2020-06-22,2100154,"Água Doce do Maranhão",139,139.998967891303,47,NA,NA,NA,NA,NA,3,3.05494505494499,NA,NA,NA,NA,NA
"48",2020-06-23,2100154,"Água Doce do Maranhão",146,144.748038280259,48,NA,NA,NA,NA,NA,3,3.05494505494499,NA,NA,NA,NA,NA
"49",2020-06-24,2100154,"Água Doce do Maranhão",147,152.062517123984,49,NA,NA,NA,NA,NA,3,3.05494505494499,NA,NA,NA,NA,NA
"50",2020-06-25,2100154,"Água Doce do Maranhão",173,151.790869192273,50,NA,NA,NA,NA,NA,3,3.05494505494499,NA,NA,NA,NA,NA
"51",2020-06-26,2100154,"Água Doce do Maranhão",174,183.11836669294,51,NA,NA,NA,NA,NA,3,3.05494505494499,NA,NA,NA,NA,NA
"52",2020-06-27,2100154,"Água Doce do Maranhão",180,181.827934510349,52,NA,NA,NA,NA,NA,3,3.05494505494499,NA,NA,NA,NA,NA
"53",2020-06-28,2100154,"Água Doce do Maranhão",191,187.368777714931,53,NA,NA,NA,NA,NA,3,3.05494505494499,NA,NA,NA,NA,NA
"54",2020-06-29,2100154,"Água Doce do Maranhão",208,199.280900320211,54,NA,NA,NA,NA,NA,3,3.05494505494499,NA,NA,NA,NA,NA
